,Song,Artist,position,id,Keywords,lyrics
45,Watch Me,Silento,81,45,"bop, nae, whip, duff, stanky","You already know who it is
Silento
Silento
Gonna do it for you
Now watch me whip
Now watch me nae nae
Now watch me whip whip
Watch me nae nae
Now watch me whip (Kill it!)
Watch me nae nae (Okay!)
Now watch me whip whip
Watch me nae nae (Can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Do the stanky leg, do the stanky leg
Now break your legs
Break your legs
Tell 'em ""break your legs""
Break your legs
Now break your legs
Break your legs
Now break your legs
Break your legs
Now watch me
Bop bop bop bop bop bop bop bop bop
Now watch me
Bop bop bop bop bop bop bop bop bop
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip whip
Watch me nae nae (Want me do it?)
Now watch me whip (Kill it!)
Watch me nae nae (Okay!)
Now watch me whip whip
Watch me nae nae (Can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Ooh watch me, watch me
Ooh watch me, watch me
Ooh watch me, watch me
Ooh ooh ooh ooh
Now watch me you
Now watch me superman
Now watch me you
Now watch me superman
Now watch me you
Now watch me superman
Now watch me you
Now watch me superman
Now watch me duff, duff, duff, duff, duff, duff, duff, duff (Hold on)
Now watch me duff, duff, duff, duff, duff, duff, duff, duff, duff
Now watch me
Bop bop bop bop bop bop bop bop bop
Now watch me
Bop bop bop bop bop bop bop bop bop
Now watch me whip (Kill it!)
Now watch me nae nae (Okay!)
Now watch me whip whip
Watch me nae nae (Want me do it?)
Now watch me whip (Kill it!)
Watch me nae nae (Okay!)
Now watch me whip whip
Watch me nae nae (Can you do it?)
Now watch me
Ooh watch me, watch me
Ooh watch me, watch me"
46,Can't Stop The Feeling!,Justin Timberlake,82,46,"dance, feeling, good, body, blood","I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone

I got that sunshine in my pocket
Got that good song in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
You gone like the way we rock it, so don't stop

Under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothing I can see but you when you dance, dance, dance
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I should do to you
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing

I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance, come on

Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone

Cause I got that sunshine in my pocket
Got that good song in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
You gon' like the way we rock it, so don't stop

Under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine
Nothing I can see but you when you dance, dance, dance
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I should do to you
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing

I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So keep dancing, come on

I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling

Nothing I can see but you when you dance, dance, dance
(I can't stop the feeling)
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
(I can't stop the feeling)
All those things I should do to you
But you dance, dance, dance
(I can't stop the feeling)
And ain't nobody leaving soon, so keep dancing

Everybody sing
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Wanna see you move your body
(I can't stop the feeling)
Got this feeling in my body
Break it down
Got this feeling in my body
Can't stop the feeling
Got this feeling in my body, come on"
47,Cheerleader,OMI,83,47,"right, cheerleader, girls, pretty, love","When I need motivation
My one solution is my queen
'Cause she stays strong
Yeah, yeah

She is always in my corner
Right there when I want her
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her

She walks like a model
She grants my wishes like a genie in a bottle
Yeah, yeah

'Cause I'm the wizard of love
And I got the magic wand
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her

She gives me love and affection
Baby, did I mention you're the only girl for me?
No, I don't need a next one

Mama loves you too
She thinks I made the right selection
Now all that's left to do is just for me to pop the question

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her"
48,Bad Romance,Lady Gaga,84,48,"love, bad, romance, roma, la","Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

I want your ugly, I want your disease
I want your everything as long as it's free
I want your love, love, love, love
I want your love

I want your drama, the touch of your hand
I want your leather-studded kiss in the sand
I want your love, love, love, love
I want your love (love, love, love, I want your love)

You know that I want you
And you know that I need you
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love, love, love, love
I want your love

I want your psycho, your vertigo shtick
Want you in my rear window, baby, you're sick
I want your love, love, love, love
I want your love (love, love, love, I want your love)

You know that I want you
And you know that I need you ('cause I'm a free bitch, baby)
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, passion baby
Work it, I'm a free bitch, baby

I want your love, and I want your revenge
I want your love, I don't wanna be friends
J'veux ton amour, et je veux ta revanche
J'veux ton amour, I don't wanna be friends

No, I don't wanna be friends (caught in a bad romance)
I don't wanna be friends, want your bad romance
Caught in a bad romance
Want your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Want your bad romance
Caught in a bad romance
Want your bad romance (oh-oh-oh-oh-oooh...)
Want your bad romance
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance"
49,Stronger (What Doesn't Kill You),Kelly Clarkson,85,49,"stronger, little, taller, lonely, fighter","You know the bed feels warmer
Sleeping here alone
You know I dream in color
And do the things I want

You think you got the best of me
Think you've had the last laugh
Bet you think that everything good is gone
Think you left me broken down
Think that I'd come running back
Baby you don't know me, cause you're dead wrong

What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone

What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

You heard that I was starting over with someone new
They told you I was moving on, over you

You didn't think that I'd come back
I'd come back swinging
You try to break me, but you see

What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone

What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

Thanks to you I got a new thing started
Thanks to you I'm not the broken hearted
Thanks to you I'm finally thinking about me
You know in the end the day you left was just my beginning
In the end

What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone
What doesn't kill you makes a fighter
Footsteps even lighter
Doesn't mean I'm over cause you're gone

What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

What doesn't kill you makes you stronger, stronger
Just me, myself and I
What doesn't kill you makes you stronger
Stand a little taller
Doesn't mean I'm lonely when I'm alone

(When I'm alone)"
50,Nice For What,Drake,87,50,"that-, life, phone, alright, niggas","I wonder who mothafucking representin' in here tonight
Hold on, hold on

I keep letting you back in
How can I explain myself?
Care for me, care for me!
I know you care for me!
There for me, there for me! (Louisiana shit)
Said you'd be there for me!
Cry for me, cry for me! (Murda on the beat)
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!
I keep letting you back in
How can I explain myself?
Care for me, care for me!
I know you care for me!
There for me, there for me! (A song for y'all to cut up to, you know?)
Said you'd be there for me!
Cry for me, cry for me! (Yeah)
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!

Everybody get your mothafuckin' roll on
I know shorty and she doesn't want no slow song
Had it made last year, life goes on
Haven't let that thing loose, girl, in so long
You been inside, know you like to lay low
I've been peepin' what you bringin' to the table
Workin' hard, girl, everything paid for
First, last phone bill, car note, cable

With your phone out, gotta hit them angles
With your phone out snappin' like you Fabo
And you showin' off, but it's alright
And you showin' off, but it's alright
It's a short life, yuh

Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!

That's a real one, in your reflection
Without a follow, without a mention
You rarely pipin' up on these niggas
You gotta be nice for what to these niggas
I understand, you gotta hunnid bands
You got it, baby, Benz
You got some bad friends
High school pics, you was even bad then
You ain't stressing off no lover in the past tense
You already had then
Work at 8am, finish around five
Hoes talk down, you don't see them outside
They don't really be the same offline
You know dog days, you know hard times
Doing overtime for the last month
Saturday, call the girls, get em gassed up
Gotta hit the club, gotta make that ass jump
Gotta hit the club like you hit them muthafucking angles

With your phone out snappin' like you Fabo
And you showin' off, but it's alright
And you showin' off, but it's alright
It's a short life, yuh

These hoes
Your boy
I may
Watch the breakdown

Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!

Gotta make that jump
Gotta make that-
Gotta make that-
Gotta make that jump
Gotta make that-
Gotta make that-
Gotta make that jump
Gotta make that-
Gotta make that-

That's a real one, in your reflection
Without a follow, without a mention
You rarely piping up on these niggas
You gotta be nice for what to these niggas
I understand

Care for me, care for me!
I know you care for me!
There for me, there for me!
Said you'd be there for me!
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!

Gotta hit the club like you hit them, hit them angles
It's a short life, yuh
Cry for me, cry for me!
You said you'd die for me!
Give to me, give to me!
Why won't you live for me?!"
51,Sucker,Jonas Brothers,88,51,"sucker, typical, cars, bars, dark","[Verse 1: Nick Jonas]
We go together
Better than birds of a feather, you and me
We change the weather, yeah
I'm feeling heat in December when you're 'round me

[Pre-Chorus: Joe Jonas, Joe Jonas & Nick Jonas]
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

[Chorus: Nick Jonas, Nick Jonas & Joe Jonas]
I'm a sucker for you
You say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I am a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're making the typical me break my typical rules
It's true, I'm a sucker for you, yeah

[Verse 2: Nick Jonas]
Don't complicate it (Yeah)
'Cause I know you and you know everything about me
I can't remember (Yeah) all of the nights
I don't remember when you're 'round me (Oh, yeah, yeah)

[Pre-Chorus: Joe Jonas, Joe Jonas & Nick Jonas]
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

[Chorus: Nick Jonas, Nick Jonas & Joe Jonas]
I'm a sucker for you
You say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I am a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're making the typical me break my typical rules
It's true, I'm a sucker for you, yeah

[Pre-Chorus: Joe Jonas, Joe Jonas & Nick Jonas]
(I'm a sucker for you)
I've been dancing on top of cars and stumbling out of bars
I follow you through the dark, can't get enough
You're the medicine and the pain, the tattoo inside my brain
And, baby, you know it's obvious

[Chorus: Nick Jonas, Nick Jonas & Joe Jonas]
I'm a sucker for you, yeah
You say the word and I'll go anywhere blindly
I'm a sucker for you, yeah
Any road you take, you know that you'll find me
I am a sucker for all the subliminal things
No one knows about you (About you), about you (About you)
And you're making the typical me break my typical rules
It's true, I'm a sucker for you
I'm a sucker for you"
52,Take Me To Church,Hozier,91,52,"church, good, dog, shrine, lies","My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner

If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week

""We were born sick""
You heard them say it

My church offers no absolutes
She tells me, ""Worship in the bedroom""
The only heaven I'll be sent to
Is when I'm alone with you

I was born sick, but I love it
Command me to be well
A-amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

If I'm a pagan of the good times
My lover's the sunlight
To keep the Goddess on my side
She demands a sacrifice

Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine-looking high horse
What you got in the stable?
We've a lot of starving faithful

That looks tasty
That looks plenty
This is hungry work

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean
Oh, oh, amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life"
53,Hotline Bling,Drake,92,53,"cell, phone, late, night, love","You used to call me on my
You used to, you used to
Yeah

You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl you got me down, you got me stressed out
Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before

You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hanging with some girls I've never seen before

You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone
Why you always touching road
Used to always stay at home, be a good girl
You was in the zone, yeah
You should just be yourself
Right now, you're someone else

You used to call me on my cell phone
Late night when you need my love
Call me on my cell phone
Late night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city..."
54,Heathens,twenty one pilots,93,54,"friends, heathens, slow, sudden, moves","All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

Welcome to the room of people
Who have rooms of people that they loved one day
Docked away
Just because we check the guns at the door
Doesn't mean our brains will change from hand grenades
You're lovin' on the psychopath sitting next to you
You're lovin' on the murderer sitting next to you
You'll think, how'd I get here, sitting next to you?
But after all I've said, please don't forget

All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

We don't deal with outsiders very well
They say newcomers have a certain smell
Yeah, I trust issues, not to mention
They say they can smell your intentions
You're lovin' on the freakshow sitting next to you
You'll have some weird people sitting next to you
You'll think ""how did I get here, sitting next to you?""
But after all I've said, please don't forget
(Watch it, watch it)

(Watch it)
All my friends are heathens, take it slow
Wait for them to ask you who you know
Please don't make any sudden moves
You don't know the half of the abuse

All my friends are heathens, take it slow
(Watch it)
Wait for them to ask you who you know
(Watch it)
All my friends are heathens, take it slow
(Watch it)
Wait for them to ask you who you know

Why'd you come, you knew you should have stayed
I tried to warn you just to stay away
And now they're outside ready to bust
It looks like you might be one of us"
55,Super Bass,Nicki Minaj,94,55,"boom, badoom, bass, super, heartbeat","This one is for the boys with the booming system
Top down, AC with the cooling system
When he come up in the club, he be blazin' up
Got stacks on deck like he savin' up

And he ill, he real, he might got a deal
He pop bottles and he got the right kind of bill
He cold, he dope, he might sell coke
He always in the air, but he never fly coach

He a motherfucking trip, trip, sailor of the ship, ship
When he make it drip, drip kiss him on the lip, lip
That's the kind of dude I was lookin' for
And yes you'll get slapped if you're lookin' hoe

I said, excuse me, you're a hell of a guy
I mean my, my, my, my you're like pelican fly
I mean, you're so shy and I'm loving your tie
You're like slicker than the guy with the thing on his eye, oh

Yes I did, yes I did
Somebody please tell him who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up, and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way

Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass

This one is for the boys in the polos
Entrepreneur niggas & the moguls
He could ball with the crew, he could solo
But I think I like him better when he down low

And I think I like him better with the fitted cap on
He ain't even gotta try to put the mac on
He just gotta give me that look, when he give me that look
Then the panties comin' off, off, uh

Excuse me, you're a hell of a guy
You know I really got a thing for American guys
I mean, sigh, sickenin' eyes
I can tell that you're in touch with your feminine side, oh

Yes I did, yes I did
Somebody please tell him who the F I is
I am Nicki Minaj, I mack them dudes up
Back coupes up, and chuck the deuce up

Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way

Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass

See I need you in my life for me to stay
No, no, no, no, no, I know you'll stay
No, no, no, no, no, don't go away

Boy, you got my heartbeat runnin' away
Don't you hear that heartbeat comin' your way?

Oh, it be like
Boom, badoom, boom, boom, badoom, boom, bass
Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?

Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way

Can't you hear that
Boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass"
56,Panda,Desiigner,96,56,"panda, x6, phantom, black, white","This what they all been waitin' for
I guess so
They been waitin' for this shit for a long time didn't they
I'ma give it everythin' I got
Ayo Dougie park that X6 around the corner
Ayy I'm just feelin' my vibe right now
I'm feelin' myself

Panda, Panda
Panda, Panda, Panda, Panda, Panda

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 looks like a panda
Goin' out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 looks like a panda
Goin' out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

Hey
Panda, Panda
Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda

I got broads in Atlanta
Twistin' dope, lean, and shit, sippin' Fanta
Credit cards and the scammers
Wake up Versace shit, life Desiigner
Whole bunch of lavish shit
They be askin' 'round town who be clappin' shit
I be pullin' up stuff in the Phantom ship
I got plenty of stuff of Bugatti whip look how I drive this shit
Black X6, Phantom
White X6, killin' on camera
Pop a Perc, I can't stand up
Gorilla, they come and kill you with bananas
Four fillas, they finna pull up in the Phantom
Know niggas, they come and kill you on the camera
Big Rollie, it dancin' bigger than a Pandie
Go Oscar for Grammy, bitch pull up your panty
Fill up I'ma flip it, I got bitches pull up and they get it
I got niggas that's countin' for digits
Say you make you a lot of new money
Know some killers pull off and they in the Wraith
CDG, they pull off and they kill the Bape
Call up Phillip-Phillip, gon' fill the bank
Niggas up in the bank, we gon' drill the bank
Fuck we gon' kill the bank, get it
I got broads, yea I get it
I get cards yea I shitted
This how I live it
Did it all for a ticket
Now Flex drop bombs when he spin it
And Bobby gon' trend it
Jeff The Don doin' business
Zana Ray fuckin' up shit and she doin' her bidnezz
I be gettin' to the chicken
Countin' to the chicken
And all of my niggas gon' split it

Panda, Panda
Panda, Panda, Panda, Panda, Panda

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 looks like a panda
Goin' out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom
White X6 looks like a panda
Goin' out like I'm Montana
Hundred killers, hundred hammers
Black X6, Phantom
White X6, panda
Pockets swole, Danny
Sellin' bar, candy
Man I'm the macho like Randy
The choppa go Oscar for Grammy
Bitch nigga pull up ya panty
Hope you killas understand me

Panda, Panda
Panda, Panda, Panda, Panda, Panda"
57,In My Feelings,Drake,98,57,"ass, real, code, trap, trapmoneybenny","Trap, TrapMoneyBenny
This shit got me in my feelings
Gotta be real with it, yup

Kiki, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always
KB, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always

Look the new me is really still the real me
I swear you gotta feel me before they try and kill me
They gotta make some choices they running out of options
'Cause I've been going off and they don't know when its stopping
And we came to the top and I see that you've been learning
And when I take you shopping you spend it like you earned it
And when you popped off on your ex he deserved it
I thought you were the one from the jump, that confirmed it
TrapMoneyBenny
I buy you champagne but you love some Henny
From the block like you Jenny
I know you special girl 'cause I know too many

'Resha, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always
JT, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want ya, and I need ya
And I'm down for you always

Two bad bitches and we kissing in the wraith
Kiss-kissing in the wraith, kiss-kissing in the wraith
I need that black card and a code to the safe
Code to the safe, code-code to the safe
I show 'em how to network, fuck that Netflix and chill
What's your net-net-net worth

Cause I want ya, and I need ya
And I'm down for you always
And I'm down for you always
And I'm down for you always
D-d-down for you always
D-d-down for you always
I got a new boy, and that nigga trap!

Kiki, do you love me
Are you riding, say you'll never ever leave
From beside me, 'cause I want you, and I need you
And I'm down for you always
KB, do you love me
Are you riding say you'll never ever leave
From beside me, 'cause I want you, and I-

Bring that ass, bring that ass, bring that ass back
B-bring that ass, bring that ass, bring that ass back
Shawty say the nigga that she with can't hit
But, shawty, I'ma hit it, hit it like I can't miss
Clap that ass, you're the only one I love, clap that ass
Bring that ass back
You're the only one I love, let's go, let's go, lets go

Trap, TrapMoneyBenny
This shit got me in my feelings
I just gotta be real with it, yup

I don't even care,
I'm just being real, my shit look..."
58,Wrecking Ball,Miley Cyrus,99,58,"ball, love, walls, lie, life","We clawed, we chained our hearts in vain
We jumped, never asking why
We kissed, I fell under your spell
A love no one could deny

Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
Yeah you, you wreck me

I put you high up in the sky
And now, you're not coming down
It slowly turned, you let me burn
And now, we're ashes on the ground

Don't you ever say I just walked away
I will always want you
I can't live a lie, running for my life
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah you, you wreck me

I never meant to start a war
I just wanted you to let me in
And instead of using force
I guess I should've let you in
I never meant to start a war
I just wanted you to let me in
I guess I should've let you win

Don't you ever say I just walked away
I will always want you

I came in like a wrecking ball
I never hit so hard in love
All I wanted was to break your walls
All you ever did was wreck me
I came in like a wrecking ball
Yeah, I just closed my eyes and swung
Left me crashing in a blazing fall
All you ever did was wreck me
Yeah you, you wreck me
Yeah you, you wreck me"
